AREAGEOGRAFICA,Hombres_0,Hombres_1,Hombres_2,Hombres_3,Hombres_4,Hombres_5,Hombres_6,Hombres_7,Hombres_8,Hombres_9,Hombres_10,Hombres_11,Hombres_12,Hombres_13,Hombres_14,Hombres_15,Hombres_16,Hombres_17,Hombres_18,Hombres_19,Hombres_20,Hombres_21,Hombres_22,Hombres_23,Hombres_24,Hombres_25,Hombres_26,Hombres_27,Hombres_28,Hombres_29,Hombres_30,Hombres_31,Hombres_32,Hombres_33,Hombres_34,Hombres_35,Hombres_36,Hombres_37,Hombres_38,Hombres_39,Hombres_40,Hombres_41,Hombres_42,Hombres_43,Hombres_44,Hombres_45,Hombres_46,Hombres_47,Hombres_48,Hombres_49,Hombres_50,Hombres_51,Hombres_52,Hombres_53,Hombres_54,Hombres_55,Hombres_56,Hombres_57,Hombres_58,Hombres_59,Hombres_60,Hombres_61,Hombres_62,Hombres_63,Hombres_64,Hombres_65,Hombres_66,Hombres_67,Hombres_68,Hombres_69,Hombres_70,Hombres_71,Hombres_72,Hombres_73,Hombres_74,Hombres_75,Hombres_76,Hombres_77,Hombres_78,Hombres_79,Hombres_80,Hombres_81,Hombres_82,Hombres_83,Hombres_84,Hombres_85,Hombres_86,Hombres_87,Hombres_88,Hombres_89,Hombres_90,Hombres_91,Hombres_92,Hombres_93,Hombres_94,Hombres_95,Hombres_96,Hombres_97,Hombres_98,Hombres_99,Hombres_100,Mujeres_0,Mujeres_1,Mujeres_2,Mujeres_3,Mujeres_4,Mujeres_5,Mujeres_6,Mujeres_7,Mujeres_8,Mujeres_9,Mujeres_10,Mujeres_11,Mujeres_12,Mujeres_13,Mujeres_14,Mujeres_15,Mujeres_16,Mujeres_17,Mujeres_18,Mujeres_19,Mujeres_20,Mujeres_21,Mujeres_22,Mujeres_23,Mujeres_24,Mujeres_25,Mujeres_26,Mujeres_27,Mujeres_28,Mujeres_29,Mujeres_30,Mujeres_31,Mujeres_32,Mujeres_33,Mujeres_34,Mujeres_35,Mujeres_36,Mujeres_37,Mujeres_38,Mujeres_39,Mujeres_40,Mujeres_41,Mujeres_42,Mujeres_43,Mujeres_44,Mujeres_45,Mujeres_46,Mujeres_47,Mujeres_48,Mujeres_49,Mujeres_50,Mujeres_51,Mujeres_52,Mujeres_53,Mujeres_54,Mujeres_55,Mujeres_56,Mujeres_57,Mujeres_58,Mujeres_59,Mujeres_60,Mujeres_61,Mujeres_62,Mujeres_63,Mujeres_64,Mujeres_65,Mujeres_66,Mujeres_67,Mujeres_68,Mujeres_69,Mujeres_70,Mujeres_71,Mujeres_72,Mujeres_73,Mujeres_74,Mujeres_75,Mujeres_76,Mujeres_77,Mujeres_78,Mujeres_79,Mujeres_80,Mujeres_81,Mujeres_82,Mujeres_83,Mujeres_84,Mujeres_85,Mujeres_86,Mujeres_87,Mujeres_88,Mujeres_89,Mujeres_90,Mujeres_91,Mujeres_92,Mujeres_93,Mujeres_94,Mujeres_95,Mujeres_96,Mujeres_97,Mujeres_98,Mujeres_99,Mujeres_100,Total_0,Total_1,Total_2,Total_3,Total_4,Total_5,Total_6,Total_7,Total_8,Total_9,Total_10,Total_11,Total_12,Total_13,Total_14,Total_15,Total_16,Total_17,Total_18,Total_19,Total_20,Total_21,Total_22,Total_23,Total_24,Total_25,Total_26,Total_27,Total_28,Total_29,Total_30,Total_31,Total_32,Total_33,Total_34,Total_35,Total_36,Total_37,Total_38,Total_39,Total_40,Total_41,Total_42,Total_43,Total_44,Total_45,Total_46,Total_47,Total_48,Total_49,Total_50,Total_51,Total_52,Total_53,Total_54,Total_55,Total_56,Total_57,Total_58,Total_59,Total_60,Total_61,Total_62,Total_63,Total_64,Total_65,Total_66,Total_67,Total_68,Total_69,Total_70,Total_71,Total_72,Total_73,Total_74,Total_75,Total_76,Total_77,Total_78,Total_79,Total_80,Total_81,Total_82,Total_83,Total_84,Total_85,Total_86,Total_87,Total_88,Total_89,Total_90,Total_91,Total_92,Total_93,Total_94,Total_95,Total_96,Total_97,Total_98,Total_99,Total_100,Total Hombres,Total Mujeres,Total general
Cabecera,7353,7462,7735,7812,7884,7957,8024,8084,8143,8198,8259,8312,8368,8423,8471,8524,8560,8589,8582,8545,8474,8368,8249,8116,7993,7898,7818,7695,7547,7382,7191,6997,6826,6708,6613,6533,6461,6383,6244,6076,5895,5708,5521,5386,5268,5171,5082,5040,5037,5035,5011,4974,4911,4827,4717,4609,4492,4342,4170,3985,3812,3634,3459,3291,3112,2915,2699,2500,2285,2101,1966,1864,1766,1694,1604,1487,1366,1253,1138,1033,937,848,759,686,614,548,486,432,383,332,296,256,220,187,162,137,108,90,72,66,235,7026,7148,7312,7406,7487,7579,7654,7736,7813,7887,7969,8040,8127,8205,8290,8373,8451,8516,8565,8599,8592,8579,8535,8462,8393,8347,8296,8210,8073,7923,7773,7603,7477,7403,7370,7321,7284,7231,7116,6961,6798,6624,6446,6309,6206,6106,6025,5983,5990,5981,5931,5873,5791,5674,5544,5417,5297,5136,4953,4762,4555,4363,4157,3964,3754,3525,3288,3049,2802,2592,2434,2309,2190,2106,1997,1851,1704,1558,1421,1294,1166,1062,951,856,769,688,609,542,477,419,367,320,276,240,197,173,142,113,88,81,303,14379,14610,15047,15218,15371,15536,15678,15820,15956,16085,16228,16352,16495,16628,16761,16897,17011,17105,17147,17144,17066,16947,16784,16578,16386,16245,16114,15905,15620,15305,14964,14600,14303,14111,13983,13854,13745,13614,13360,13037,12693,12332,11967,11695,11474,11277,11107,11023,11027,11016,10942,10847,10702,10501,10261,10026,9789,9478,9123,8747,8367,7997,7616,7255,6866,6440,5987,5549,5087,4693,4400,4173,3956,3800,3601,3338,3070,2811,2559,2327,2103,1910,1710,1542,1383,1236,1095,974,860,751,663,576,496,427,359,310,250,203,160,147,538,460871,496730,957601
Centros Poblados y Rural Disperso,9016,8974,9103,9009,8911,8809,8708,8609,8502,8409,8313,8220,8131,8063,7985,7915,7845,7782,7704,7614,7487,7359,7204,7034,6874,6724,6598,6449,6299,6157,6017,5890,5787,5694,5618,5563,5521,5505,5502,5515,5520,5512,5483,5432,5369,5310,5264,5242,5228,5194,5132,5045,4948,4849,4745,4628,4509,4367,4212,4061,3916,3779,3638,3498,3346,3171,2978,2808,2639,2506,2423,2373,2306,2235,2132,1992,1838,1699,1555,1429,1306,1184,1084,972,883,801,715,643,565,509,441,392,341,291,247,205,177,134,103,89,226,8634,8589,8601,8508,8420,8329,8236,8144,8051,7957,7871,7789,7711,7643,7574,7510,7455,7384,7305,7206,7100,6978,6853,6720,6595,6490,6384,6266,6144,6038,5934,5847,5770,5690,5602,5528,5456,5409,5382,5374,5346,5316,5256,5163,5062,4965,4893,4838,4790,4742,4654,4554,4446,4335,4232,4134,4033,3915,3782,3649,3521,3391,3260,3134,2988,2832,2662,2509,2362,2245,2174,2126,2066,1987,1892,1760,1633,1496,1370,1247,1133,1032,934,841,762,676,608,542,482,425,372,326,285,236,210,175,142,116,91,76,245,17650,17563,17704,17517,17331,17138,16944,16753,16553,16366,16184,16009,15842,15706,15559,15425,15300,15166,15009,14820,14587,14337,14057,13754,13469,13214,12982,12715,12443,12195,11951,11737,11557,11384,11220,11091,10977,10914,10884,10889,10866,10828,10739,10595,10431,10275,10157,10080,10018,9936,9786,9599,9394,9184,8977,8762,8542,8282,7994,7710,7437,7170,6898,6632,6334,6003,5640,5317,5001,4751,4597,4499,4372,4222,4024,3752,3471,3195,2925,2676,2439,2216,2018,1813,1645,1477,1323,1185,1047,934,813,718,626,527,457,380,319,250,194,165,471,456038,428946,884984
Total,16369,16436,16838,16821,16795,16766,16732,16693,16645,16607,16572,16532,16499,16486,16456,16439,16405,16371,16286,16159,15961,15727,15453,15150,14867,14622,14416,14144,13846,13539,13208,12887,12613,12402,12231,12096,11982,11888,11746,11591,11415,11220,11004,10818,10637,10481,10346,10282,10265,10229,10143,10019,9859,9676,9462,9237,9001,8709,8382,8046,7728,7413,7097,6789,6458,6086,5677,5308,4924,4607,4389,4237,4072,3929,3736,3479,3204,2952,2693,2462,2243,2032,1843,1658,1497,1349,1201,1075,948,841,737,648,561,478,409,342,285,224,175,155,461,15660,15737,15913,15914,15907,15908,15890,15880,15864,15844,15840,15829,15838,15848,15864,15883,15906,15900,15870,15805,15692,15557,15388,15182,14988,14837,14680,14476,14217,13961,13707,13450,13247,13093,12972,12849,12740,12640,12498,12335,12144,11940,11702,11472,11268,11071,10918,10821,10780,10723,10585,10427,10237,10009,9776,9551,9330,9051,8735,8411,8076,7754,7417,7098,6742,6357,5950,5558,5164,4837,4608,4435,4256,4093,3889,3611,3337,3054,2791,2541,2299,2094,1885,1697,1531,1364,1217,1084,959,844,739,646,561,476,407,348,284,229,179,157,548,32029,32173,32751,32735,32702,32674,32622,32573,32509,32451,32412,32361,32337,32334,32320,32322,32311,32271,32156,31964,31653,31284,30841,30332,29855,29459,29096,28620,28063,27500,26915,26337,25860,25495,25203,24945,24722,24528,24244,23926,23559,23160,22706,22290,21905,21552,21264,21103,21045,20952,20728,20446,20096,19685,19238,18788,18331,17760,17117,16457,15804,15167,14514,13887,13200,12443,11627,10866,10088,9444,8997,8672,8328,8022,7625,7090,6541,6006,5484,5003,4542,4126,3728,3355,3028,2713,2418,2159,1907,1685,1476,1294,1122,954,816,690,569,453,354,312,1009,916909,925676,1842585
Cabecera,7035,7369,7500,7772,7853,7933,8007,8070,8137,8187,8248,8303,8355,8399,8454,8500,8541,8564,8573,8547,8504,8412,8313,8199,8071,7965,7871,7793,7668,7513,7340,7145,6951,6799,6684,6584,6500,6411,6295,6132,5960,5779,5601,5449,5327,5216,5116,5037,5010,5015,5013,4992,4947,4873,4775,4672,4557,4434,4278,4095,3911,3730,3553,3378,3209,3029,2829,2610,2400,2183,2002,1869,1772,1688,1618,1525,1411,1289,1178,1061,961,871,773,700,620,550,490,429,383,327,291,249,214,182,156,132,103,90,70,56,225,6717,7051,7178,7358,7447,7538,7625,7706,7786,7863,7936,8012,8088,8164,8246,8326,8395,8466,8518,8566,8584,8586,8567,8522,8454,8393,8351,8297,8195,8047,7896,7730,7573,7470,7420,7370,7324,7263,7172,7026,6877,6708,6546,6405,6285,6181,6075,6001,5975,5975,5968,5921,5857,5759,5631,5499,5375,5246,5082,4893,4692,4490,4291,4086,3895,3680,3455,3204,2958,2710,2496,2341,2221,2126,2035,1926,1776,1634,1487,1355,1223,1101,993,889,793,713,626,555,487,426,372,322,276,242,196,169,144,113,90,73,292,13752,14420,14678,15130,15300,15471,15632,15776,15923,16050,16184,16315,16443,16563,16700,16826,16936,17030,17091,17113,17088,16998,16880,16721,16525,16358,16222,16090,15863,15560,15236,14875,14524,14269,14104,13954,13824,13674,13467,13158,12837,12487,12147,11854,11612,11397,11191,11038,10985,10990,10981,10913,10804,10632,10406,10171,9932,9680,9360,8988,8603,8220,7844,7464,7104,6709,6284,5814,5358,4893,4498,4210,3993,3814,3653,3451,3187,2923,2665,2416,2184,1972,1766,1589,1413,1263,1116,984,870,753,663,571,490,424,352,301,247,203,160,129,517,463760,500438,964198
Centros Poblados y Rural Disperso,8717,8956,8919,9058,8972,8876,8782,8686,8586,8488,8390,8299,8205,8127,8055,7977,7912,7842,7779,7697,7594,7475,7335,7178,7012,6849,6711,6597,6464,6330,6203,6074,5951,5829,5734,5663,5609,5583,5603,5621,5636,5637,5618,5552,5484,5411,5352,5292,5252,5225,5186,5116,5034,4944,4853,4738,4622,4505,4364,4215,4059,3917,3774,3628,3484,3328,3152,2961,2799,2630,2491,2402,2339,2250,2171,2065,1919,1766,1625,1483,1353,1227,1115,1002,901,812,728,646,570,506,438,384,334,287,239,200,171,134,103,77,219,8353,8573,8545,8554,8476,8384,8304,8209,8120,8029,7934,7854,7767,7696,7625,7557,7494,7427,7351,7263,7177,7065,6958,6846,6720,6600,6500,6404,6308,6202,6098,6013,5911,5808,5704,5628,5548,5497,5486,5487,5470,5445,5400,5301,5186,5084,4991,4909,4834,4792,4737,4643,4546,4451,4347,4244,4138,4044,3924,3793,3667,3530,3403,3267,3135,2990,2827,2668,2520,2373,2256,2178,2119,2029,1950,1851,1721,1586,1450,1320,1202,1083,987,884,794,710,633,560,498,438,381,331,289,242,211,173,145,119,94,68,239,17070,17529,17464,17612,17448,17260,17086,16895,16706,16517,16324,16153,15972,15823,15680,15534,15406,15269,15130,14960,14771,14540,14293,14024,13732,13449,13211,13001,12772,12532,12301,12087,11862,11637,11438,11291,11157,11080,11089,11108,11106,11082,11018,10853,10670,10495,10343,10201,10086,10017,9923,9759,9580,9395,9200,8982,8760,8549,8288,8008,7726,7447,7177,6895,6619,6318,5979,5629,5319,5003,4747,4580,4458,4279,4121,3916,3640,3352,3075,2803,2555,2310,2102,1886,1695,1522,1361,1206,1068,944,819,715,623,529,450,373,316,253,197,145,458,463463,436675,900138
Total,15752,16325,16419,16830,16825,16809,16789,16756,16723,16675,16638,16602,16560,16526,16509,16477,16453,16406,16352,16244,16098,15887,15648,15377,15083,14814,14582,14390,14132,13843,13543,13219,12902,12628,12418,12247,12109,11994,11898,11753,11596,11416,11219,11001,10811,10627,10468,10329,10262,10240,10199,10108,9981,9817,9628,9410,9179,8939,8642,8310,7970,7647,7327,7006,6693,6357,5981,5571,5199,4813,4493,4271,4111,3938,3789,3590,3330,3055,2803,2544,2314,2098,1888,1702,1521,1362,1218,1075,953,833,729,633,548,469,395,332,274,224,173,133,444,15070,15624,15723,15912,15923,15922,15929,15915,15906,15892,15870,15866,15855,15860,15871,15883,15889,15893,15869,15829,15761,15651,15525,15368,15174,14993,14851,14701,14503,14249,13994,13743,13484,13278,13124,12998,12872,12760,12658,12513,12347,12153,11946,11706,11471,11265,11066,10910,10809,10767,10705,10564,10403,10210,9978,9743,9513,9290,9006,8686,8359,8020,7694,7353,7030,6670,6282,5872,5478,5083,4752,4519,4340,4155,3985,3777,3497,3220,2937,2675,2425,2184,1980,1773,1587,1423,1259,1115,985,864,753,653,565,484,407,342,289,232,184,141,531,30822,31949,32142,32742,32748,32731,32718,32671,32629,32567,32508,32468,32415,32386,32380,32360,32342,32299,32221,32073,31859,31538,31173,30745,30257,29807,29433,29091,28635,28092,27537,26962,26386,25906,25542,25245,24981,24754,24556,24266,23943,23569,23165,22707,22282,21892,21534,21239,21071,21007,20904,20672,20384,20027,19606,19153,18692,18229,17648,16996,16329,15667,15021,14359,13723,13027,12263,11443,10677,9896,9245,8790,8451,8093,7774,7367,6827,6275,5740,5219,4739,4282,3868,3475,3108,2785,2477,2190,1938,1697,1482,1286,1113,953,802,674,563,456,357,274,975,927223,937113,1864336
Cabecera,6758,7039,7395,7527,7804,7895,7976,8049,8119,8180,8236,8292,8347,8388,8434,8486,8519,8542,8538,8520,8479,8408,8318,8222,8113,8007,7907,7820,7743,7616,7457,7280,7087,6916,6769,6649,6547,6445,6319,6179,6011,5841,5669,5525,5388,5273,5159,5068,5006,4987,4992,4994,4965,4908,4821,4730,4621,4500,4370,4202,4020,3829,3648,3472,3296,3125,2941,2737,2507,2294,2081,1904,1778,1697,1614,1540,1450,1333,1213,1099,988,893,794,713,633,555,491,432,380,326,287,244,208,177,151,127,99,85,70,55,208,6442,6729,7068,7212,7389,7491,7578,7671,7752,7833,7911,7978,8058,8127,8205,8282,8345,8399,8447,8492,8518,8543,8538,8521,8483,8426,8374,8333,8265,8154,8008,7842,7691,7559,7480,7413,7366,7296,7198,7074,6935,6779,6624,6499,6375,6255,6146,6046,5990,5956,5959,5955,5901,5821,5713,5583,5455,5321,5189,5020,4820,4624,4416,4217,4015,3818,3607,3367,3109,2860,2610,2401,2252,2158,2055,1964,1847,1705,1560,1418,1281,1156,1031,929,824,735,649,570,497,435,378,325,277,242,197,168,140,115,90,74,276,13200,13768,14463,14739,15193,15386,15554,15720,15871,16013,16147,16270,16405,16515,16639,16768,16864,16941,16985,17012,16997,16951,16856,16743,16596,16433,16281,16153,16008,15770,15465,15122,14778,14475,14249,14062,13913,13741,13517,13253,12946,12620,12293,12024,11763,11528,11305,11114,10996,10943,10951,10949,10866,10729,10534,10313,10076,9821,9559,9222,8840,8453,8064,7689,7311,6943,6548,6104,5616,5154,4691,4305,4030,3855,3669,3504,3297,3038,2773,2517,2269,2049,1825,1642,1457,1290,1140,1002,877,761,665,569,485,419,348,295,239,200,160,129,484,465849,503225,969074
Centros Poblados y Rural Disperso,8453,8637,8879,8856,9000,8918,8833,8748,8650,8562,8460,8369,8278,8195,8114,8041,7967,7899,7823,7747,7644,7542,7409,7266,7116,6949,6804,6681,6588,6475,6359,6247,6123,5983,5860,5771,5701,5665,5675,5717,5737,5750,5738,5682,5598,5521,5448,5376,5297,5245,5214,5165,5100,5026,4946,4842,4730,4614,4500,4366,4212,4058,3912,3763,3612,3466,3309,3134,2952,2791,2615,2471,2369,2284,2187,2104,1990,1845,1690,1552,1405,1272,1157,1031,928,829,737,658,571,510,435,380,328,281,234,193,165,129,102,76,205,8100,8273,8508,8478,8503,8423,8343,8262,8174,8085,7995,7908,7823,7745,7671,7600,7531,7448,7370,7278,7199,7106,7010,6918,6816,6698,6589,6501,6430,6352,6250,6165,6067,5939,5811,5722,5639,5581,5565,5583,5574,5562,5522,5436,5317,5199,5102,4999,4897,4828,4780,4719,4630,4546,4458,4354,4243,4145,4050,3932,3808,3673,3540,3408,3266,3135,2983,2832,2677,2531,2384,2259,2171,2080,1991,1908,1809,1672,1537,1396,1272,1148,1034,933,834,738,663,582,515,451,392,339,292,245,215,174,143,121,95,70,228,16553,16910,17387,17334,17503,17341,17176,17010,16824,16647,16455,16277,16101,15940,15785,15641,15498,15347,15193,15025,14843,14648,14419,14184,13932,13647,13393,13182,13018,12827,12609,12412,12190,11922,11671,11493,11340,11246,11240,11300,11311,11312,11260,11118,10915,10720,10550,10375,10194,10073,9994,9884,9730,9572,9404,9196,8973,8759,8550,8298,8020,7731,7452,7171,6878,6601,6292,5966,5629,5322,4999,4730,4540,4364,4178,4012,3799,3517,3227,2948,2677,2420,2191,1964,1762,1567,1400,1240,1086,961,827,719,620,526,449,367,308,250,197,146,433,469841,443296,913137
Total,15211,15676,16274,16383,16804,16813,16809,16797,16769,16742,16696,16661,16625,16583,16548,16527,16486,16441,16361,16267,16123,15950,15727,15488,15229,14956,14711,14501,14331,14091,13816,13527,13210,12899,12629,12420,12248,12110,11994,11896,11748,11591,11407,11207,10986,10794,10607,10444,10303,10232,10206,10159,10065,9934,9767,9572,9351,9114,8870,8568,8232,7887,7560,7235,6908,6591,6250,5871,5459,5085,4696,4375,4147,3981,3801,3644,3440,3178,2903,2651,2393,2165,1951,1744,1561,1384,1228,1090,951,836,722,624,536,458,385,320,264,214,172,131,413,14542,15002,15576,15690,15892,15914,15921,15933,15926,15918,15906,15886,15881,15872,15876,15882,15876,15847,15817,15770,15717,15649,15548,15439,15299,15124,14963,14834,14695,14506,14258,14007,13758,13498,13291,13135,13005,12877,12763,12657,12509,12341,12146,11935,11692,11454,11248,11045,10887,10784,10739,10674,10531,10367,10171,9937,9698,9466,9239,8952,8628,8297,7956,7625,7281,6953,6590,6199,5786,5391,4994,4660,4423,4238,4046,3872,3656,3377,3097,2814,2553,2304,2065,1862,1658,1473,1312,1152,1012,886,770,664,569,487,412,342,283,236,185,144,504,29753,30678,31850,32073,32696,32727,32730,32730,32695,32660,32602,32547,32506,32455,32424,32409,32362,32288,32178,32037,31840,31599,31275,30927,30528,30080,29674,29335,29026,28597,28074,27534,26968,26397,25920,25555,25253,24987,24757,24553,24257,23932,23553,23142,22678,22248,21855,21489,21190,21016,20945,20833,20596,20301,19938,19509,19049,18580,18109,17520,16860,16184,15516,14860,14189,13544,12840,12070,11245,10476,9690,9035,8570,8219,7847,7516,7096,6555,6000,5465,4946,4469,4016,3606,3219,2857,2540,2242,1963,1722,1492,1288,1105,945,797,662,547,450,357,275,917,935690,946521,1882211
Cabecera,6688,6758,7057,7416,7553,7840,7932,8014,8096,8159,8227,8279,8336,8380,8424,8467,8506,8519,8514,8479,8440,8367,8294,8206,8115,8029,7930,7841,7757,7681,7551,7389,7217,7048,6881,6731,6610,6490,6352,6202,6057,5890,5730,5593,5464,5334,5217,5113,5039,4985,4967,4977,4970,4929,4860,4780,4683,4567,4439,4298,4131,3942,3751,3572,3395,3217,3042,2854,2636,2404,2195,1986,1819,1709,1630,1543,1471,1376,1261,1138,1029,923,818,736,647,568,497,434,383,324,286,240,203,171,147,122,94,81,65,54,191,6360,6450,6740,7096,7238,7427,7526,7619,7713,7796,7878,7950,8024,8095,8168,8242,8300,8346,8372,8408,8428,8460,8476,8473,8464,8439,8392,8345,8291,8214,8106,7946,7796,7673,7564,7469,7406,7334,7227,7096,6979,6833,6691,6574,6468,6343,6217,6116,6036,5970,5941,5947,5935,5867,5777,5666,5541,5403,5266,5129,4949,4755,4552,4346,4148,3942,3748,3521,3274,3012,2760,2517,2317,2194,2093,1990,1892,1779,1635,1493,1346,1215,1086,967,863,766,670,592,512,444,386,331,280,243,196,169,138,111,90,73,260,13048,13208,13797,14512,14791,15267,15458,15633,15809,15955,16105,16229,16360,16475,16592,16709,16806,16865,16886,16887,16868,16827,16770,16679,16579,16468,16322,16186,16048,15895,15657,15335,15013,14721,14445,14200,14016,13824,13579,13298,13036,12723,12421,12167,11932,11677,11434,11229,11075,10955,10908,10924,10905,10796,10637,10446,10224,9970,9705,9427,9080,8697,8303,7918,7543,7159,6790,6375,5910,5416,4955,4503,4136,3903,3723,3533,3363,3155,2896,2631,2375,2138,1904,1703,1510,1334,1167,1026,895,768,672,571,483,414,343,291,232,192,155,127,451,467752,505701,973453
