Ano,Pocision,Indicador
2016,3.0,ARTÍCULOS EN PUBLICACIONES CIENTÍFICAS Y TÉCNICAS 
2017,3.0,ARTÍCULOS EN PUBLICACIONES CIENTÍFICAS Y TÉCNICAS 
2018,5.0,ARTÍCULOS EN PUBLICACIONES CIENTÍFICAS Y TÉCNICAS 
2019,5.0,ARTÍCULOS EN PUBLICACIONES CIENTÍFICAS Y TÉCNICAS 
2020,12.0,ARTÍCULOS EN PUBLICACIONES CIENTÍFICAS Y TÉCNICAS 
2021,12.0,ARTÍCULOS EN PUBLICACIONES CIENTÍFICAS Y TÉCNICAS 
2022,13.866666666666788,Prediccion
2023,15.923809523809723,Prediccion
2024,17.980952380952658,Prediccion
2025,20.038095238095593,Prediccion
