Ano,Pocision,Indicador
2016,12.0,DIVERSIFICACIÓN DE MERCADOS DE DESTINO DE EXPORTACIONES 
2017,19.0,DIVERSIFICACIÓN DE MERCADOS DE DESTINO DE EXPORTACIONES 
2018,7.0,DIVERSIFICACIÓN DE MERCADOS DE DESTINO DE EXPORTACIONES 
2019,8.0,DIVERSIFICACIÓN DE MERCADOS DE DESTINO DE EXPORTACIONES 
2020,15.0,DIVERSIFICACIÓN DE MERCADOS DE DESTINO DE EXPORTACIONES 
2021,23.0,DIVERSIFICACIÓN DE MERCADOS DE DESTINO DE EXPORTACIONES 
2022,18.40000000000009,Prediccion
2023,19.657142857142844,Prediccion
2024,20.914285714286052,Prediccion
2025,22.171428571428805,Prediccion
