Ano,Pocision,Indicador
2016,16.0,EMPRESAS CON CERTIFICACIÓN AMBIENTAL ISO 14001 
2017,13.0,EMPRESAS CON CERTIFICACIÓN AMBIENTAL ISO 14001 
2018,16.0,EMPRESAS CON CERTIFICACIÓN AMBIENTAL ISO 14001 
2019,25.0,EMPRESAS CON CERTIFICACIÓN AMBIENTAL ISO 14001 
2020,25.0,EMPRESAS CON CERTIFICACIÓN AMBIENTAL ISO 14001 
2021,18.0,EMPRESAS CON CERTIFICACIÓN AMBIENTAL ISO 14001 
2022,24.333333333333485,Prediccion
2023,25.904761904761926,Prediccion
2024,27.476190476190368,Prediccion
2025,29.04761904761881,Prediccion
