Ano,Pocision,Indicador
2016,11.0,EMPRESAS QUE COOPERAN CON ORGANIZACIONES INTERNACIONALES (%)
2017,11.0,EMPRESAS QUE COOPERAN CON ORGANIZACIONES INTERNACIONALES (%)
2018,11.0,EMPRESAS QUE COOPERAN CON ORGANIZACIONES INTERNACIONALES (%)
2019,11.0,EMPRESAS QUE COOPERAN CON ORGANIZACIONES INTERNACIONALES (%)
2020,16.0,EMPRESAS QUE COOPERAN CON ORGANIZACIONES INTERNACIONALES (%)
2021,17.0,EMPRESAS QUE COOPERAN CON ORGANIZACIONES INTERNACIONALES (%)
2022,17.333333333333485,Prediccion
2023,18.619047619047706,Prediccion
2024,19.90476190476238,Prediccion
2025,21.190476190476602,Prediccion
