Ano,Pocision,Indicador
2016,7.0,GASTO BRUTO EN INVESTIGACIÓN Y DESARROLLO (I+D) COMO PORCENTAJE DEL PIB
2017,9.0,GASTO BRUTO EN INVESTIGACIÓN Y DESARROLLO (I+D) COMO PORCENTAJE DEL PIB
2018,17.0,GASTO BRUTO EN INVESTIGACIÓN Y DESARROLLO (I+D) COMO PORCENTAJE DEL PIB
2019,12.0,GASTO BRUTO EN INVESTIGACIÓN Y DESARROLLO (I+D) COMO PORCENTAJE DEL PIB
2020,10.0,GASTO BRUTO EN INVESTIGACIÓN Y DESARROLLO (I+D) COMO PORCENTAJE DEL PIB
2021,13.0,GASTO BRUTO EN INVESTIGACIÓN Y DESARROLLO (I+D) COMO PORCENTAJE DEL PIB
2022,14.133333333333212,Prediccion
2023,14.933333333333167,Prediccion
2024,15.733333333333121,Prediccion
2025,16.533333333333076,Prediccion
