Ano,Pocision,Indicador
2016,7.0,INTENSIDAD DEL GASTO EMPRESARIAL EN I+D (PORCENTAJE)
2017,21.0,INTENSIDAD DEL GASTO EMPRESARIAL EN I+D (PORCENTAJE)
2018,21.0,INTENSIDAD DEL GASTO EMPRESARIAL EN I+D (PORCENTAJE)
2019,21.0,INTENSIDAD DEL GASTO EMPRESARIAL EN I+D (PORCENTAJE)
2020,21.0,INTENSIDAD DEL GASTO EMPRESARIAL EN I+D (PORCENTAJE)
2021,23.0,INTENSIDAD DEL GASTO EMPRESARIAL EN I+D (PORCENTAJE)
2022,27.0,Prediccion
2023,29.285714285714675,Prediccion
2024,31.57142857142844,Prediccion
2025,33.85714285714312,Prediccion
