Ano,Pocision,Indicador
2016,23.0,INVERSIÓN PÚBLICA EN CAPITAL FIJO  (% DEL PIB)
2017,27.0,INVERSIÓN PÚBLICA EN CAPITAL FIJO  (% DEL PIB)
2018,9.0,INVERSIÓN PÚBLICA EN CAPITAL FIJO  (% DEL PIB)
2019,19.0,INVERSIÓN PÚBLICA EN CAPITAL FIJO  (% DEL PIB)
2020,21.0,INVERSIÓN PÚBLICA EN CAPITAL FIJO  (% DEL PIB)
2021,20.0,INVERSIÓN PÚBLICA EN CAPITAL FIJO  (% DEL PIB)
2022,17.533333333333076,Prediccion
2023,16.87619047619023,Prediccion
2024,16.219047619047387,Prediccion
2025,15.561904761904543,Prediccion
