Ano,Pocision,Indicador
2016,25.0,SOLICITUDES DE PATENTES A RESIDENTES POR MILLÓN DE HABITANTES
2017,23.0,SOLICITUDES DE PATENTES A RESIDENTES POR MILLÓN DE HABITANTES
2018,23.0,SOLICITUDES DE PATENTES A RESIDENTES POR MILLÓN DE HABITANTES
2019,21.0,SOLICITUDES DE PATENTES A RESIDENTES POR MILLÓN DE HABITANTES
2020,25.0,SOLICITUDES DE PATENTES A RESIDENTES POR MILLÓN DE HABITANTES
2021,27.0,SOLICITUDES DE PATENTES A RESIDENTES POR MILLÓN DE HABITANTES
2022,25.399999999999977,Prediccion
2023,25.799999999999955,Prediccion
2024,26.199999999999932,Prediccion
2025,26.59999999999991,Prediccion
