ano,posicion,indicador
2016,29.0,EFICIENCIA EN EL USO DE LA ENERGÍA (EN UNIDADES DEL PIB)
2017,29.0,EFICIENCIA EN EL USO DE LA ENERGÍA (EN UNIDADES DEL PIB)
2018,27.0,EFICIENCIA EN EL USO DE LA ENERGÍA (EN UNIDADES DEL PIB)
2019,27.0,EFICIENCIA EN EL USO DE LA ENERGÍA (EN UNIDADES DEL PIB)
2020,25.0,EFICIENCIA EN EL USO DE LA ENERGÍA (EN UNIDADES DEL PIB)
2021,21.0,EFICIENCIA EN EL USO DE LA ENERGÍA (EN UNIDADES DEL PIB)
2022,21.133333333333212,prediccion
2023,19.647619047619173,prediccion
2024,18.16190476190468,prediccion
2025,16.676190476190186,prediccion
