ano,posicion,indicador
2016,25.0,EXPORTACIONES DE PRODUCTOS ALTA TECNOLOGÍA (%)
2017,25.0,EXPORTACIONES DE PRODUCTOS ALTA TECNOLOGÍA (%)
2018,25.0,EXPORTACIONES DE PRODUCTOS ALTA TECNOLOGÍA (%)
2019,22.0,EXPORTACIONES DE PRODUCTOS ALTA TECNOLOGÍA (%)
2020,20.0,EXPORTACIONES DE PRODUCTOS ALTA TECNOLOGÍA (%)
2021,25.0,EXPORTACIONES DE PRODUCTOS ALTA TECNOLOGÍA (%)
2022,21.866666666666788,prediccion
2023,21.352380952381054,prediccion
2024,20.83809523809532,prediccion
2025,20.323809523809587,prediccion
