ano,posicion,indicador
2016,13.0,EXPORTACIÓN DE SERVICIOS CREATIVOS Y CULTURALES (%)
2017,13.0,EXPORTACIÓN DE SERVICIOS CREATIVOS Y CULTURALES (%)
2018,13.0,EXPORTACIÓN DE SERVICIOS CREATIVOS Y CULTURALES (%)
2019,16.0,EXPORTACIÓN DE SERVICIOS CREATIVOS Y CULTURALES (%)
2020,15.0,EXPORTACIÓN DE SERVICIOS CREATIVOS Y CULTURALES (%)
2021,19.0,EXPORTACIÓN DE SERVICIOS CREATIVOS Y CULTURALES (%)
2022,18.733333333333576,prediccion
2023,19.847619047619446,prediccion
2024,20.96190476190486,prediccion
2025,22.07619047619073,prediccion
