ano,posicion,indicador
2016,11.0,GASTO EN I+D FINANCIADO DESDE EL EXTRANJERO (%)
2017,11.0,GASTO EN I+D FINANCIADO DESDE EL EXTRANJERO (%)
2018,4.0,GASTO EN I+D FINANCIADO DESDE EL EXTRANJERO (%)
2019,3.0,GASTO EN I+D FINANCIADO DESDE EL EXTRANJERO (%)
2020,5.0,GASTO EN I+D FINANCIADO DESDE EL EXTRANJERO (%)
2021,11.0,GASTO EN I+D FINANCIADO DESDE EL EXTRANJERO (%)
2022,5.599999999999909,prediccion
2023,5.057142857142935,prediccion
2024,4.514285714285734,prediccion
2025,3.9714285714285325,prediccion
