ano,posicion,indicador
2016,22.0,INVERSIÓN EXTRANJERA DIRECTA DESDE EL EXTERIOR
2017,22.0,INVERSIÓN EXTRANJERA DIRECTA DESDE EL EXTERIOR
2018,25.0,INVERSIÓN EXTRANJERA DIRECTA DESDE EL EXTERIOR
2019,25.0,INVERSIÓN EXTRANJERA DIRECTA DESDE EL EXTERIOR
2020,26.0,INVERSIÓN EXTRANJERA DIRECTA DESDE EL EXTERIOR
2021,26.0,INVERSIÓN EXTRANJERA DIRECTA DESDE EL EXTERIOR
2022,27.533333333333303,prediccion
2023,28.4476190476189,prediccion
2024,29.361904761904725,prediccion
2025,30.276190476190322,prediccion
