ano,posicion,indicador
2016,13.0,TASA DE COBERTURA NETA EN EDUCACIÓN SECUNDARIA
2017,13.0,TASA DE COBERTURA NETA EN EDUCACIÓN SECUNDARIA
2018,12.0,TASA DE COBERTURA NETA EN EDUCACIÓN SECUNDARIA
2019,12.0,TASA DE COBERTURA NETA EN EDUCACIÓN SECUNDARIA
2020,12.0,TASA DE COBERTURA NETA EN EDUCACIÓN SECUNDARIA
2021,13.0,TASA DE COBERTURA NETA EN EDUCACIÓN SECUNDARIA
2022,12.199999999999989,prediccion
2023,12.1142857142857,prediccion
2024,12.02857142857141,prediccion
2025,11.942857142857122,prediccion
