ano,posicion,indicador
2016,5.0,ÍNDICE DE ESTABILIDAD POLÍTICA Y AUSENCIA DE VIOLENCIA / TERRORISMO
2017,8.0,ÍNDICE DE ESTABILIDAD POLÍTICA Y AUSENCIA DE VIOLENCIA / TERRORISMO
2018,12.0,ÍNDICE DE ESTABILIDAD POLÍTICA Y AUSENCIA DE VIOLENCIA / TERRORISMO
2019,5.0,ÍNDICE DE ESTABILIDAD POLÍTICA Y AUSENCIA DE VIOLENCIA / TERRORISMO
2020,8.0,ÍNDICE DE ESTABILIDAD POLÍTICA Y AUSENCIA DE VIOLENCIA / TERRORISMO
2021,5.0,ÍNDICE DE ESTABILIDAD POLÍTICA Y AUSENCIA DE VIOLENCIA / TERRORISMO
2022,6.466666666666697,prediccion
2023,6.266666666666708,prediccion
2024,6.06666666666672,prediccion
2025,5.866666666666731,prediccion
